Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
1501-1503 Haultain St.,V8R 2K1,Victoria,"January 17, 2019",,Yes,3,,,Yes,Yes,"Helps,Alto,Loveday,Potts,Thornton-Joe","Isitt,Dubow,Young",
622 Admirals Rd,V9A 2N7,Esquimalt,"January 7, 2019",,No,152,12,,Yes,Yes,"Brame,Morrison,Vermeulen,Armour,Hundleby,Desjardins,Helliwell",,"Seniors accommodation, 12 units non-profit legion veterans"
1300 Yates,V8S 1Z9,Victoria,"December 13, 2018",,Yes,1,,,Yes,Yes,"Helps,Loveday,Alto,Thornton-Joe,Young,Potts","Isitt,Dubow",
1109 Lyall St.,V9A 5G3,Esquimalt,"December 3, 2018",,No,2,,,Yes,Yes,"Morrison,Brame,Helliwell,Hundleby,Vermeulen,Armour",Desjardins,
939 Colville Rd and 825 Lampson St,V9A 6B4,Esquimalt,"November 26, 2018",,No,10,,1,Yes,Yes,"Morrison,Brame,Vermeulen,Armour,Helliwell,Hundleby",,Desjardins absent
1046-1048 North Park St.,V8T 1C6,Victoria,"November 22, 2018",,Yes,34,34,,Yes,Yes,"Helps,Alto,Thornton-Joe,Young,Potts,Isitt,Dubow",,Loveday absent.  Supportive care home.
27 Pilot St.,V8V 2A5,Victoria,"November 22, 2018",,Yes,1,,,Yes,Yes,"Helps,Alto,Thornton-Joe,Young,Potts,Isitt,Dubow",,Loveday absent
2501 Blanshard St,V8T 4J5,Victoria,"November 22, 2018",,Yes,34,34,,Yes,Yes,"Helps,Alto,Loveday,Young,Potts,Isitt,Dubow",,Thornton-Joe withdrew
1139 Chapman St.,V8V 2T5,Victoria,"November 8, 2018",,No,2,,1,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,
423 Edward St.,V9A 3E8,Victoria,"November 8, 2018",,Yes,1,,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,
944 Heywood Ave,V8V 2Y3,Victoria,"November 8, 2018",,No,2,,1,No,Yes,"Alto,Isitt,Loveday,Potts,Thornton-Joe,Young","Helps,Dubow",
